wavelength,angle,psi,delta
380.416931,65.02,15.059314,134.159302
380.416931,70.02,11.685319,101.242188
380.416931,75.02,13.608634,55.874557
383.600128,65.02,15.104745,134.767975
383.600128,70.02,11.524687,102.24839
383.600128,75.02,13.38658,56.059296
386.78299,65.02,15.049801,135.58989
386.78299,70.02,11.354962,102.774879
386.78299,75.02,13.15008,56.047821
389.965515,65.02,14.924876,136.157623
389.965515,70.02,11.210572,103.441406
389.965515,75.02,12.947904,56.146069
393.147766,65.02,14.902856,136.994553
393.147766,70.02,11.044147,104.195129
393.147766,75.02,12.788514,56.129852
396.329651,65.02,14.821487,137.666641
396.329651,70.02,10.887605,104.748108
396.329651,75.02,12.573334,56.037807
399.51123,65.02,14.760982,138.416702
399.51123,70.02,10.739103,105.546944
399.51123,75.02,12.380706,55.844944
402.692474,65.02,14.689388,139.0392
402.692474,70.02,10.575795,106.180367
402.692474,75.02,12.161921,55.724983
405.873413,65.02,14.627464,139.825363
405.873413,70.02,10.426975,106.969521
405.873413,75.02,11.963721,55.579006
409.054016,65.02,14.580474,140.672394
409.054016,70.02,10.254376,107.656647
409.054016,75.02,11.766267,55.424419
412.234283,65.02,14.516788,141.411179
412.234283,70.02,10.110801,108.543205
412.234283,75.02,11.579509,55.23201
415.414246,65.02,14.453269,142.21991
415.414246,70.02,9.942003,109.292183
415.414246,75.02,11.371717,55.035553
418.593933,65.02,14.375375,142.946442
418.593933,70.02,9.775967,110.256889
418.593933,75.02,11.14916,54.783489
421.773254,65.02,14.314723,143.826508
421.773254,70.02,9.601952,111.02552
421.773254,75.02,10.910922,54.488201
424.95224,65.02,14.252736,144.676605
424.95224,70.02,9.422442,111.940216
424.95224,75.02,10.691918,54.164509
428.130951,65.02,14.180396,145.548203
428.130951,70.02,9.252223,112.95163
428.130951,75.02,10.479266,53.899899
431.309265,65.02,14.100639,146.3965
431.309265,70.02,9.05881,113.91671
431.309265,75.02,10.255649,53.411434
434.487305,65.02,14.04,147.331223
434.487305,70.02,8.876675,114.877831
434.487305,75.02,10.040373,52.990723
437.665039,65.02,13.936492,148.155472
437.665039,70.02,8.679925,115.801796
437.665039,75.02,9.803708,52.493534
440.842468,65.02,13.872409,149.11496
440.842468,70.02,8.485235,116.945389
440.842468,75.02,9.585938,51.805977
444.019531,65.02,13.764824,149.97995
444.019531,70.02,8.27988,118.081764
444.019531,75.02,9.369315,51.154293
447.196228,65.02,13.694743,150.943527
447.196228,70.02,8.073792,119.181305
447.196228,75.02,9.139122,50.357719
450.37265,65.02,13.60223,151.91655
450.37265,70.02,7.864522,120.207619
450.37265,75.02,8.921845,49.494675
453.548767,65.02,13.499111,152.918198
453.548767,70.02,7.670476,121.473198
453.548767,75.02,8.705841,48.591599
456.724548,65.02,13.406439,153.908005
456.724548,70.02,7.431683,122.431328
456.724548,75.02,8.497134,47.429058
459.899994,65.02,13.287708,154.913757
459.899994,70.02,7.220856,123.78978
459.899994,75.02,8.288363,46.248909
463.075195,65.02,13.184137,155.901505
463.075195,70.02,7.001315,125.003761
463.075195,75.02,8.085641,44.939137
466.25,65.02,13.083867,156.9048
466.25,70.02,6.780907,126.288887
466.25,75.02,7.891622,43.582733
469.4245,65.02,12.969382,158.021545
469.4245,70.02,6.544518,127.738541
469.4245,75.02,7.715423,42.003185
472.598694,65.02,12.853891,159.074585
472.598694,70.02,6.308786,129.254913
472.598694,75.02,7.533218,40.35862
475.772552,65.02,12.729386,160.190903
475.772552,70.02,6.070474,130.765671
475.772552,75.02,7.361985,38.578899
478.946045,65.02,12.628201,161.322052
478.946045,70.02,5.831429,132.411987
478.946045,75.02,7.216756,36.468994
482.119232,65.02,12.501461,162.506165
482.119232,70.02,5.587159,134.200699
482.119232,75.02,7.066736,34.496887
485.292175,65.02,12.374369,163.67009
485.292175,70.02,5.335411,135.997513
485.292175,75.02,6.939042,32.232834
488.464752,65.02,12.248315,164.939026
488.464752,70.02,5.077623,137.926361
488.464752,75.02,6.85073,29.833992
491.636963,65.02,12.100786,166.162704
491.636963,70.02,4.83161,140.297531
491.636963,75.02,6.75684,27.192434
494.808899,65.02,11.961007,167.440002
494.808899,70.02,4.560993,142.686386
494.808899,75.02,6.682814,24.47176
497.980469,65.02,11.828694,168.835388
497.980469,70.02,4.302159,145.389709
497.980469,75.02,6.651266,21.567402
501.151764,65.02,11.689944,170.28569
501.151764,70.02,4.044799,148.443771
501.151764,75.02,6.622504,18.581032
504.322754,65.02,11.53196,171.74614
504.322754,70.02,3.761222,151.892731
504.322754,75.02,6.633502,15.533677
507.493347,65.02,11.372573,173.32872
507.493347,70.02,3.502223,155.993561
507.493347,75.02,6.674197,12.375157
510.663666,65.02,11.202057,175.031693
510.663666,70.02,3.240306,160.760269
510.663666,75.02,6.755129,9.223781
513.833679,65.02,11.026773,176.714447
513.833679,70.02,2.962129,166.307175
513.833679,75.02,6.880519,5.964667
517.003296,65.02,10.857379,178.610962
517.003296,70.02,2.730003,173.067871
517.003296,75.02,7.027095,2.779394
520.172668,65.02,10.677954,180.52298
520.172668,70.02,2.493395,181.418945
520.172668,75.02,7.229046,-0.312744
523.341675,65.02,10.469235,182.612259
523.341675,70.02,2.316228,191.372894
523.341675,75.02,7.487108,-3.261383
526.510376,65.02,10.264282,184.86496
526.510376,70.02,2.176868,203.634659
526.510376,75.02,7.765472,-6.08252
529.678833,65.02,10.034772,187.334671
529.678833,70.02,2.129706,216.821579
529.678833,75.02,8.108971,-8.628357
532.846863,65.02,9.783885,189.931015
532.846863,70.02,2.181335,231.29303
532.846863,75.02,8.520129,-10.989502
536.014587,65.02,9.540997,192.755066
536.014587,70.02,2.340254,245.30011
536.014587,75.02,8.96687,-13.090057
539.182007,65.02,9.250257,195.816345
539.182007,70.02,2.613891,258.076172
539.182007,75.02,9.479473,-14.897888
542.349121,65.02,8.954391,199.193192
542.349121,70.02,2.980692,268.601563
542.349121,75.02,10.046159,-16.364777
545.515869,65.02,8.650078,202.909348
545.515869,70.02,3.431532,-82.09201
545.515869,75.02,10.651365,-17.565613
548.682312,65.02,8.303591,206.975708
548.682312,70.02,3.935421,-74.312225
548.682312,75.02,11.309217,-18.382751
551.84845,65.02,7.950463,211.509827
551.84845,70.02,4.505596,-67.509033
551.84845,75.02,12.024405,-18.919678
555.014282,65.02,7.585663,216.550369
555.014282,70.02,5.132972,-61.371826
555.014282,75.02,12.766824,-19.1604
558.179749,65.02,7.19241,222.330811
558.179749,70.02,5.798082,-55.792938
558.179749,75.02,13.541985,-19.09436
561.34491,65.02,6.814035,228.712311
561.34491,70.02,6.515481,-50.691833
561.34491,75.02,14.378758,-18.686188
564.509766,65.02,6.421642,236.207001
564.509766,70.02,7.259057,-45.665405
564.509766,75.02,15.223215,-18.029053
567.674194,65.02,6.044221,244.74295
567.674194,70.02,8.044789,-40.939087
567.674194,75.02,16.094641,-17.087585
570.838501,65.02,5.716873,254.784393
570.838501,70.02,8.868007,-36.296997
570.838501,75.02,16.988335,-15.847229
574.002319,65.02,5.451613,266.120087
574.002319,70.02,9.710427,-31.591797
574.002319,75.02,17.884287,-14.367004
577.165894,65.02,5.279618,-81.083557
577.165894,70.02,10.580878,-26.966248
577.165894,75.02,18.786379,-12.647034
580.329102,65.02,5.261662,-66.844177
580.329102,70.02,11.457031,-22.309418
580.329102,75.02,19.677099,-10.620667
583.492065,65.02,5.414201,-52.056549
583.492065,70.02,12.349363,-17.475739
583.492065,75.02,20.534895,-8.407227
586.654602,65.02,5.747213,-37.349823
586.654602,70.02,13.237107,-12.568726
586.654602,75.02,21.358032,-5.914337
589.816895,65.02,6.244153,-23.409943
589.816895,70.02,14.089851,-7.534393
589.816895,75.02,22.112598,-3.218994
592.978821,65.02,6.901192,-10.478333
592.978821,70.02,14.89289,-2.443756
592.978821,75.02,22.789978,-0.334381
596.140442,65.02,7.673246,1.320233
596.140442,70.02,15.623438,2.785297
596.140442,75.02,23.372259,2.660133
599.301758,65.02,8.478932,11.844716
599.301758,70.02,16.263504,7.976471
599.301758,75.02,23.82604,5.739834
602.462769,65.02,9.284182,21.397358
602.462769,70.02,16.797947,13.084764
602.462769,75.02,24.171993,8.837279
605.623413,65.02,10.055298,30.183445
605.623413,70.02,17.197771,18.032721
605.623413,75.02,24.389925,11.918842
608.783752,65.02,10.74354,37.60714
608.783752,70.02,17.486044,22.629251
608.783752,75.02,24.506945,14.753454
611.943726,65.02,11.171901,44.243542
611.943726,70.02,17.562954,26.741529
611.943726,75.02,24.44754,17.292091
615.103394,65.02,12.005472,52.534889
615.103394,70.02,17.768881,32.293995
615.103394,75.02,24.377884,20.783264
618.262817,65.02,12.395423,56.98724
618.262817,70.02,17.813425,35.335743
618.262817,75.02,24.2633,22.701843
621.421875,65.02,12.813847,62.499134
621.421875,70.02,17.762508,39.260292
621.421875,75.02,24.048758,25.087187
624.580566,65.02,13.153139,67.35144
624.580566,70.02,17.678278,42.742065
624.580566,75.02,23.782993,27.265081
627.738953,65.02,13.452815,71.769196
627.738953,70.02,17.566317,45.959335
627.738953,75.02,23.509245,29.28359
630.897095,65.02,13.699539,75.776382
630.897095,70.02,17.42919,49.025208
630.897095,75.02,23.226635,31.158609
634.05481,65.02,13.930804,79.559952
634.05481,70.02,17.273058,51.921722
634.05481,75.02,22.906347,32.957909
637.21228,65.02,14.1278,82.971199
637.21228,70.02,17.105021,54.642548
637.21228,75.02,22.591848,34.578869
640.369446,65.02,14.31216,86.213242
640.369446,70.02,16.939268,57.183281
640.369446,75.02,22.276283,36.127522
643.526184,65.02,14.470688,89.152725
643.526184,70.02,16.763704,59.643612
643.526184,75.02,21.968462,37.616257
646.682678,65.02,14.611881,91.804947
646.682678,70.02,16.601719,61.972694
646.682678,75.02,21.646326,38.960148
649.838806,65.02,14.744818,94.337158
649.838806,70.02,16.443483,64.127563
649.838806,75.02,21.339956,40.299572
652.994629,65.02,14.869476,96.707321
652.994629,70.02,16.288038,66.151207
652.994629,75.02,21.018801,41.534485
656.150208,65.02,14.983693,98.8517
656.150208,70.02,16.136379,68.151581
656.150208,75.02,20.724585,42.66116
659.305359,65.02,15.092733,100.965988
659.305359,70.02,15.983799,70.03611
659.305359,75.02,20.440832,43.771454
662.460205,65.02,15.182663,102.925682
662.460205,70.02,15.838703,71.855019
662.460205,75.02,20.147345,44.891945
665.614746,65.02,15.277531,104.672089
665.614746,70.02,15.699939,73.571953
665.614746,75.02,19.876572,45.881775
668.768921,65.02,15.367539,106.480728
668.768921,70.02,15.564754,75.241173
668.768921,75.02,19.591179,46.884823
671.922852,65.02,15.44477,108.162552
671.922852,70.02,15.42925,76.918335
671.922852,75.02,19.306385,47.823814
675.076477,65.02,15.512093,109.693016
675.076477,70.02,15.292713,78.402977
675.076477,75.02,19.042688,48.721066
678.229675,65.02,15.584482,111.231987
678.229675,70.02,15.169508,79.913658
678.229675,75.02,18.77743,49.613964
681.382629,65.02,15.653049,112.634857
681.382629,70.02,15.061092,81.390289
681.382629,75.02,18.53507,50.434341
684.535278,65.02,15.724944,114.042503
684.535278,70.02,14.93736,82.832481
684.535278,75.02,18.275764,51.266987
687.687561,65.02,15.783941,115.381714
687.687561,70.02,14.818425,84.196037
687.687561,75.02,18.016596,52.040798
690.839478,65.02,15.839596,116.693787
690.839478,70.02,14.692555,85.626595
690.839478,75.02,17.77672,52.8088
693.99115,65.02,15.896033,117.897797
693.99115,70.02,14.587402,86.903404
693.99115,75.02,17.535107,53.577599
697.142456,65.02,15.945502,119.079361
697.142456,70.02,14.48516,88.235725
697.142456,75.02,17.284788,54.321903
700.293457,65.02,15.992384,120.243881
700.293457,70.02,14.372129,89.44474
700.293457,75.02,17.057869,54.995174
703.444153,65.02,16.038441,121.344223
703.444153,70.02,14.255075,90.743797
703.444153,75.02,16.818367,55.716892
706.594543,65.02,16.079725,122.448334
706.594543,70.02,14.155804,91.931168
706.594543,75.02,16.589497,56.402847
709.744507,65.02,16.118109,123.574387
709.744507,70.02,14.058197,93.199432
709.744507,75.02,16.350372,57.092098
712.894287,65.02,16.155329,124.62709
712.894287,70.02,13.944242,94.432991
712.894287,75.02,16.111265,57.75304
716.04364,65.02,16.206532,125.625481
716.04364,70.02,13.848385,95.628799
716.04364,75.02,15.890064,58.381199
719.192749,65.02,16.250961,126.606644
719.192749,70.02,13.756768,96.777718
719.192749,75.02,15.661124,59.031124
722.341492,65.02,16.275717,127.587669
722.341492,70.02,13.657459,97.950935
722.341492,75.02,15.443617,59.661617
725.489929,65.02,16.307301,128.556076
725.489929,70.02,13.563896,99.069092
725.489929,75.02,15.211757,60.263664
728.638,65.02,16.341925,129.471558
728.638,70.02,13.478463,100.140381
728.638,75.02,14.995625,60.840523
731.785828,65.02,16.371511,130.405609
731.785828,70.02,13.384998,101.329613
731.785828,75.02,14.775803,61.441628
734.933289,65.02,16.39917,131.278717
734.933289,70.02,13.300453,102.343712
734.933289,75.02,14.562842,62.050358
738.080444,65.02,16.416826,132.146164
738.080444,70.02,13.204114,103.481026
738.080444,75.02,14.34584,62.590496
741.227234,65.02,16.449467,133.006851
741.227234,70.02,13.12217,104.553032
741.227234,75.02,14.123917,63.218227
744.373718,65.02,16.479822,133.84169
744.373718,70.02,13.037956,105.613701
744.373718,75.02,13.908639,63.745552
747.519897,65.02,16.501902,134.698257
747.519897,70.02,12.944545,106.678085
747.519897,75.02,13.699921,64.264915
750.665771,65.02,16.517876,135.522507
750.665771,70.02,12.860394,107.675659
750.665771,75.02,13.498377,64.811134
753.81134,65.02,16.534096,136.327423
753.81134,70.02,12.781662,108.760696
753.81134,75.02,13.275607,65.336044
756.956543,65.02,16.557816,137.102509
756.956543,70.02,12.697137,109.772583
756.956543,75.02,13.073241,65.866096
760.10144,65.02,16.575069,137.81665
760.10144,70.02,12.614228,110.768501
760.10144,75.02,12.874468,66.395821
763.245972,65.02,16.594791,138.626144
763.245972,70.02,12.535091,111.834526
763.245972,75.02,12.665358,66.869019
766.390259,65.02,16.612871,139.396286
766.390259,70.02,12.457803,112.857574
766.390259,75.02,12.457692,67.335518
769.534119,65.02,16.619017,140.15065
769.534119,70.02,12.375981,113.868767
769.534119,75.02,12.252379,67.878006
772.677734,65.02,16.646843,140.86113
772.677734,70.02,12.30873,114.83667
772.677734,75.02,12.053164,68.338158
775.820984,65.02,16.659645,141.586273
775.820984,70.02,12.232215,115.83799
775.820984,75.02,11.857758,68.804848
778.963989,65.02,16.668617,142.294037
778.963989,70.02,12.151712,116.836044
778.963989,75.02,11.659148,69.27829
782.106628,65.02,16.671701,142.972046
782.106628,70.02,12.079534,117.779053
782.106628,75.02,11.454527,69.707954
785.248901,65.02,16.689415,143.705368
785.248901,70.02,11.996535,118.737671
785.248901,75.02,11.255378,70.177208
788.39093,65.02,16.700121,144.348846
788.39093,70.02,11.92759,119.726143
788.39093,75.02,11.064609,70.639511
791.532593,65.02,16.701881,145.013779
791.532593,70.02,11.85388,120.66304
791.532593,75.02,10.872708,71.06279
794.67395,65.02,16.719036,145.670227
794.67395,70.02,11.787712,121.604752
794.67395,75.02,10.686127,71.462456
797.814941,65.02,16.723335,146.333893
797.814941,70.02,11.72746,122.555611
797.814941,75.02,10.488299,71.914459
800.955688,65.02,16.720449,146.957657
800.955688,70.02,11.648777,123.489273
800.955688,75.02,10.304561,72.319542
804.096069,65.02,16.721363,147.614731
804.096069,70.02,11.582902,124.444237
804.096069,75.02,10.113656,72.754822
807.236145,65.02,16.733593,148.26123
807.236145,70.02,11.514114,125.371117
807.236145,75.02,9.931876,73.118889
810.375854,65.02,16.742373,148.876617
810.375854,70.02,11.45472,126.29319
810.375854,75.02,9.738265,73.51432
813.515259,65.02,16.75193,149.538147
813.515259,70.02,11.381831,127.219299
813.515259,75.02,9.545178,73.980202
816.654419,65.02,16.752182,150.133286
816.654419,70.02,11.324772,128.176727
816.654419,75.02,9.355681,74.301582
819.793152,65.02,16.763075,150.757645
819.793152,70.02,11.258273,129.100571
819.793152,75.02,9.180478,74.702675
822.931519,65.02,16.768055,151.344788
822.931519,70.02,11.204632,129.978912
822.931519,75.02,9.001412,75.023438
826.069702,65.02,16.761017,151.892746
826.069702,70.02,11.135222,130.895706
826.069702,75.02,8.821375,75.457108
829.20752,65.02,16.763483,152.491974
829.20752,70.02,11.068725,131.77063
829.20752,75.02,8.650456,75.735901
832.34491,65.02,16.754234,153.062775
832.34491,70.02,11.020465,132.637344
832.34491,75.02,8.466906,76.162399
835.482239,65.02,16.749411,153.637817
835.482239,70.02,10.964687,133.571579
835.482239,75.02,8.283947,76.524712
838.619019,65.02,16.749811,154.20874
838.619019,70.02,10.905279,134.367828
838.619019,75.02,8.110179,76.862663
841.755554,65.02,16.761463,154.757263
841.755554,70.02,10.848425,135.3013
841.755554,75.02,7.951599,77.148453
844.891785,65.02,16.750546,155.315796
844.891785,70.02,10.790885,136.189651
844.891785,75.02,7.778504,77.382736
848.027527,65.02,16.752317,155.807297
848.027527,70.02,10.745113,137.047562
848.027527,75.02,7.597946,77.721695
851.163086,65.02,16.753292,156.381134
851.163086,70.02,10.693866,137.933136
851.163086,75.02,7.44219,78.044922
854.298462,65.02,16.761082,156.92836
854.298462,70.02,10.626741,138.801346
854.298462,75.02,7.260547,78.386078
857.433289,65.02,16.730339,157.445541
857.433289,70.02,10.571675,139.673126
857.433289,75.02,7.09507,78.553802
860.567871,65.02,16.732935,157.948868
860.567871,70.02,10.523694,140.489182
860.567871,75.02,6.933959,78.944183
863.702148,65.02,16.711342,158.518234
863.702148,70.02,10.47435,141.373688
863.702148,75.02,6.75769,79.138008
866.836121,65.02,16.723305,159.00882
866.836121,70.02,10.433099,142.259811
866.836121,75.02,6.589551,79.533104
869.969727,65.02,16.714542,159.513748
869.969727,70.02,10.379974,143.124054
869.969727,75.02,6.430498,79.677734
873.103027,65.02,16.723103,160.025986
873.103027,70.02,10.331425,143.991867
873.103027,75.02,6.272468,79.973663
876.236023,65.02,16.708241,160.504272
876.236023,70.02,10.293297,144.762482
876.236023,75.02,6.116618,80.339493
879.368652,65.02,16.69799,160.998657
879.368652,70.02,10.244403,145.589676
879.368652,75.02,5.954232,80.445457
882.500977,65.02,16.701185,161.527176
882.500977,70.02,10.185366,146.485794
882.500977,75.02,5.790759,80.648682
885.632996,65.02,16.699411,161.985413
885.632996,70.02,10.139865,147.289749
885.632996,75.02,5.632376,80.940071
888.764771,65.02,16.675922,162.4534
888.764771,70.02,10.099157,148.091003
888.764771,75.02,5.482025,81.015907
891.896118,65.02,16.669559,162.949539
891.896118,70.02,10.059299,148.920181
891.896118,75.02,5.327899,81.253746
895.027161,65.02,16.653177,163.424423
895.027161,70.02,10.011364,149.807907
895.027161,75.02,5.162103,81.574097
898.157837,65.02,16.658133,163.923386
898.157837,70.02,9.966054,150.640335
898.157837,75.02,5.008146,81.554039
901.288269,65.02,16.651585,164.338196
901.288269,70.02,9.931604,151.408981
901.288269,75.02,4.860851,81.68264
904.418335,65.02,16.646116,164.798798
904.418335,70.02,9.891797,152.228653
904.418335,75.02,4.706555,81.758362
907.548157,65.02,16.626293,165.256088
907.548157,70.02,9.861327,153.06633
907.548157,75.02,4.566284,81.878494
910.677551,65.02,16.617886,165.703506
910.677551,70.02,9.812795,153.81366
910.677551,75.02,4.414013,81.961395
913.806641,65.02,16.615187,166.161209
913.806641,70.02,9.767332,154.614456
913.806641,75.02,4.26723,82.141571
916.935547,65.02,16.610947,166.597687
916.935547,70.02,9.729903,155.373428
916.935547,75.02,4.122078,81.930923
920.063843,65.02,16.608253,167.056305
920.063843,70.02,9.701769,156.214951
920.063843,75.02,3.980579,82.058205
923.1922,65.02,16.577829,167.487076
923.1922,70.02,9.666808,157.032166
923.1922,75.02,3.838675,82.057877
926.319946,65.02,16.566631,167.886276
926.319946,70.02,9.626161,157.752762
926.319946,75.02,3.692034,82.1381
929.447449,65.02,16.573671,168.325363
929.447449,70.02,9.585901,158.548325
929.447449,75.02,3.552425,82.328438
932.574585,65.02,16.552481,168.738449
932.574585,70.02,9.56232,159.310532
932.574585,75.02,3.416583,81.76786
935.701538,65.02,16.534693,169.163544
935.701538,70.02,9.530645,160.039917
935.701538,75.02,3.283875,81.767975
938.828125,65.02,16.522966,169.57341
938.828125,70.02,9.485979,160.828125
938.828125,75.02,3.142488,81.708076
941.954285,65.02,16.517029,170.047302
941.954285,70.02,9.456417,161.712784
941.954285,75.02,2.986599,81.877792
945.0802,65.02,16.497503,170.49144
945.0802,70.02,9.416453,162.530594
945.0802,75.02,2.84011,81.095436
948.20575,65.02,16.4853,170.980118
948.20575,70.02,9.392831,163.400436
948.20575,75.02,2.688472,80.620285
951.331055,65.02,16.482746,171.421799
951.331055,70.02,9.340728,164.193665
951.331055,75.02,2.558105,80.687386
954.455872,65.02,16.468218,171.796021
954.455872,70.02,9.321372,164.960587
954.455872,75.02,2.41868,80.302193
957.580444,65.02,16.456959,172.185486
957.580444,70.02,9.301191,165.723465
957.580444,75.02,2.286629,79.83712
960.704895,65.02,16.445419,172.595734
960.704895,70.02,9.271833,166.503571
960.704895,75.02,2.172377,79.041222
963.828796,65.02,16.426334,172.973175
963.828796,70.02,9.24528,167.231735
963.828796,75.02,2.052263,77.817368
966.952454,65.02,16.417877,173.376587
966.952454,70.02,9.23517,167.953125
966.952454,75.02,1.914878,77.652763
970.075806,65.02,16.415726,173.751404
970.075806,70.02,9.20623,168.694946
970.075806,75.02,1.791331,76.421021
973.198853,65.02,16.398064,174.145065
973.198853,70.02,9.167732,169.459824
973.198853,75.02,1.66959,75.456017
976.321472,65.02,16.375923,174.537476
976.321472,70.02,9.161227,170.205261
976.321472,75.02,1.549734,74.250275
979.443848,65.02,16.371277,174.925217
979.443848,70.02,9.123846,170.925873
979.443848,75.02,1.427284,72.67807
982.565918,65.02,16.358461,175.303726
982.565918,70.02,9.087544,171.643417
