Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.02, 70.02, 75.02°)	Delta (65.02, 70.02, 75.02°)				
380.416931	15.059314	134.159302	11.685319	101.242188	13.608634	55.874557	
383.600128	15.104745	134.767975	11.524687	102.248390	13.386580	56.059296	
386.782990	15.049801	135.589890	11.354962	102.774879	13.150080	56.047821	
389.965515	14.924876	136.157623	11.210572	103.441406	12.947904	56.146069	
393.147766	14.902856	136.994553	11.044147	104.195129	12.788514	56.129852	
396.329651	14.821487	137.666641	10.887605	104.748108	12.573334	56.037807	
399.511230	14.760982	138.416702	10.739103	105.546944	12.380706	55.844944	
402.692474	14.689388	139.039200	10.575795	106.180367	12.161921	55.724983	
405.873413	14.627464	139.825363	10.426975	106.969521	11.963721	55.579006	
409.054016	14.580474	140.672394	10.254376	107.656647	11.766267	55.424419	
412.234283	14.516788	141.411179	10.110801	108.543205	11.579509	55.232010	
415.414246	14.453269	142.219910	9.942003	109.292183	11.371717	55.035553	
418.593933	14.375375	142.946442	9.775967	110.256889	11.149160	54.783489	
421.773254	14.314723	143.826508	9.601952	111.025520	10.910922	54.488201	
424.952240	14.252736	144.676605	9.422442	111.940216	10.691918	54.164509	
428.130951	14.180396	145.548203	9.252223	112.951630	10.479266	53.899899	
431.309265	14.100639	146.396500	9.058810	113.916710	10.255649	53.411434	
434.487305	14.040000	147.331223	8.876675	114.877831	10.040373	52.990723	
437.665039	13.936492	148.155472	8.679925	115.801796	9.803708	52.493534	
440.842468	13.872409	149.114960	8.485235	116.945389	9.585938	51.805977	
444.019531	13.764824	149.979950	8.279880	118.081764	9.369315	51.154293	
447.196228	13.694743	150.943527	8.073792	119.181305	9.139122	50.357719	
450.372650	13.602230	151.916550	7.864522	120.207619	8.921845	49.494675	
453.548767	13.499111	152.918198	7.670476	121.473198	8.705841	48.591599	
456.724548	13.406439	153.908005	7.431683	122.431328	8.497134	47.429058	
459.899994	13.287708	154.913757	7.220856	123.789780	8.288363	46.248909	
463.075195	13.184137	155.901505	7.001315	125.003761	8.085641	44.939137	
466.250000	13.083867	156.904800	6.780907	126.288887	7.891622	43.582733	
469.424500	12.969382	158.021545	6.544518	127.738541	7.715423	42.003185	
472.598694	12.853891	159.074585	6.308786	129.254913	7.533218	40.358620	
475.772552	12.729386	160.190903	6.070474	130.765671	7.361985	38.578899	
478.946045	12.628201	161.322052	5.831429	132.411987	7.216756	36.468994	
482.119232	12.501461	162.506165	5.587159	134.200699	7.066736	34.496887	
485.292175	12.374369	163.670090	5.335411	135.997513	6.939042	32.232834	
488.464752	12.248315	164.939026	5.077623	137.926361	6.850730	29.833992	
491.636963	12.100786	166.162704	4.831610	140.297531	6.756840	27.192434	
494.808899	11.961007	167.440002	4.560993	142.686386	6.682814	24.471760	
497.980469	11.828694	168.835388	4.302159	145.389709	6.651266	21.567402	
501.151764	11.689944	170.285690	4.044799	148.443771	6.622504	18.581032	
504.322754	11.531960	171.746140	3.761222	151.892731	6.633502	15.533677	
507.493347	11.372573	173.328720	3.502223	155.993561	6.674197	12.375157	
510.663666	11.202057	175.031693	3.240306	160.760269	6.755129	9.223781	
513.833679	11.026773	176.714447	2.962129	166.307175	6.880519	5.964667	
517.003296	10.857379	178.610962	2.730003	173.067871	7.027095	2.779394	
520.172668	10.677954	180.522980	2.493395	181.418945	7.229046	-0.312744	
523.341675	10.469235	182.612259	2.316228	191.372894	7.487108	-3.261383	
526.510376	10.264282	184.864960	2.176868	203.634659	7.765472	-6.082520	
529.678833	10.034772	187.334671	2.129706	216.821579	8.108971	-8.628357	
532.846863	9.783885	189.931015	2.181335	231.293030	8.520129	-10.989502	
536.014587	9.540997	192.755066	2.340254	245.300110	8.966870	-13.090057	
539.182007	9.250257	195.816345	2.613891	258.076172	9.479473	-14.897888	
