Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Intensity (65.02°)	Intensity (70.02°)	Intensity (75.02°)
380.416931	0.302815	0.323123	0.360167	
383.600128	0.302540	0.323514	0.362243	
386.782990	0.302382	0.323106	0.361503	
389.965515	0.302709	0.323503	0.361989	
393.147766	0.302456	0.322506	0.360610	
396.329651	0.302167	0.322713	0.360437	
399.511230	0.302071	0.322279	0.359736	
402.692474	0.302277	0.322389	0.359481	
405.873413	0.302749	0.322499	0.359727	
409.054016	0.302888	0.322415	0.359403	
412.234283	0.302961	0.322949	0.359102	
415.414246	0.303168	0.322172	0.358680	
418.593933	0.303451	0.322381	0.358760	
421.773254	0.303481	0.322708	0.359180	
424.952240	0.303443	0.322183	0.357978	
428.130951	0.303401	0.321959	0.357756	
431.309265	0.303278	0.321820	0.357662	
434.487305	0.303105	0.321769	0.357690	
437.665039	0.303143	0.321141	0.356573	
440.842468	0.302698	0.321012	0.356388	
444.019531	0.302472	0.320950	0.355793	
447.196228	0.301948	0.319919	0.354422	
450.372650	0.301719	0.320349	0.354755	
453.548767	0.301339	0.319604	0.354017	
456.724548	0.300515	0.318591	0.353556	
459.899994	0.300210	0.317587	0.352785	
463.075195	0.299589	0.317305	0.352086	
466.250000	0.298823	0.316736	0.350949	
469.424500	0.298073	0.315816	0.350739	
472.598694	0.297281	0.315312	0.350273	
475.772552	0.296524	0.313986	0.348365	
478.946045	0.295635	0.313515	0.348353	
482.119232	0.294566	0.312736	0.347769	
485.292175	0.293552	0.312181	0.347944	
488.464752	0.292675	0.310181	0.346666	
491.636963	0.291916	0.309846	0.346462	
494.808899	0.290559	0.308846	0.344866	
497.980469	0.289143	0.307715	0.343871	
501.151764	0.287862	0.307368	0.344288	
504.322754	0.286501	0.306514	0.343259	
507.493347	0.285219	0.304856	0.342060	
510.663666	0.283731	0.303301	0.341048	
513.833679	0.281957	0.301614	0.339778	
517.003296	0.280218	0.300854	0.338952	
520.172668	0.278395	0.299581	0.338749	
523.341675	0.276098	0.297371	0.337343	
526.510376	0.273761	0.294895	0.335966	
529.678833	0.271322	0.293665	0.335242	
532.846863	0.268532	0.291471	0.334260	
536.014587	0.265251	0.289251	0.333227	
539.182007	0.261862	0.286672	0.331857	
542.349121	0.258071	0.283175	0.329033	
545.515869	0.253837	0.281026	0.327645	
548.682312	0.249241	0.277471	0.325678	
551.848450	0.244142	0.272675	0.322795	
555.014282	0.238270	0.268066	0.320266	
558.179749	0.232194	0.262906	0.316455	
561.344910	0.225603	0.257931	0.313296	
564.509766	0.218427	0.252286	0.309381	
567.674194	0.210706	0.245706	0.304969	
570.838501	0.202793	0.239877	0.301033	
574.002319	0.194369	0.232738	0.296621	
577.165894	0.185943	0.225365	0.291078	
580.329102	0.177731	0.219587	0.286715	
583.492065	0.169777	0.212824	0.281939	
586.654602	0.162164	0.205930	0.277216	
589.816895	0.155146	0.199792	0.272323	
592.978821	0.149745	0.195461	0.269334	
596.140442	0.145363	0.192240	0.266863	
599.301758	0.142666	0.190237	0.266073	
602.462769	0.141467	0.189778	0.265840	
605.623413	0.141619	0.190721	0.267306	
608.783752	0.143153	0.193214	0.270420	
611.943726	0.146251	0.196976	0.275346	
615.103394	0.151142	0.199452	0.274863	
618.262817	0.155200	0.205416	0.282480	
621.421875	0.161054	0.211271	0.287190	
624.580566	0.167412	0.218253	0.293561	
627.738953	0.174158	0.223720	0.299055	
630.897095	0.181171	0.231158	0.305746	
634.054810	0.188630	0.236837	0.310156	
637.212280	0.195857	0.243976	0.315101	
640.369446	0.203017	0.250233	0.321490	
643.526184	0.210455	0.257440	0.327280	
646.682678	0.217446	0.264004	0.332054	
649.838806	0.224333	0.269619	0.336122	
652.994629	0.230835	0.275263	0.340974	
656.150208	0.237202	0.280448	0.344395	
659.305359	0.243494	0.284731	0.347034	
662.460205	0.249507	0.290846	0.352983	
665.614746	0.254827	0.295304	0.355723	
668.768921	0.260402	0.299172	0.358509	
671.922852	0.265743	0.303322	0.360752	
675.076477	0.270453	0.307566	0.363676	
678.229675	0.275164	0.310905	0.366496	
681.382629	0.279743	0.314316	0.368466	
684.535278	0.283799	0.318778	0.371322	
687.687561	0.287819	0.320129	0.371235	
690.839478	0.292050	0.323819	0.373453	
693.991150	0.295514	0.327133	0.377337	
697.142456	0.299027	0.328744	0.378366	
700.293457	0.302318	0.332017	0.380234	
703.444153	0.305469	0.334479	0.381916	
706.594543	0.308763	0.337056	0.383531	
709.744507	0.311977	0.338349	0.383925	
712.894287	0.314613	0.340812	0.384423	
716.043640	0.317144	0.340427	0.384448	
719.192749	0.319835	0.343595	0.385417	
722.341492	0.322297	0.345311	0.387364	
725.489929	0.324769	0.346264	0.388471	
728.638000	0.327264	0.350657	0.390566	
731.785828	0.329310	0.350723	0.388965	
734.933289	0.330986	0.352232	0.391042	
738.080444	0.333310	0.353533	0.390463	
741.227234	0.335336	0.354984	0.390245	
744.373718	0.336974	0.356395	0.391253	
747.519897	0.338793	0.357641	0.391490	
750.665771	0.340886	0.358369	0.391730	
753.811340	0.342314	0.359888	0.394003	
756.956543	0.343724	0.360449	0.393060	
760.101440	0.345436	0.360298	0.392832	
763.245972	0.346841	0.362783	0.394273	
766.390259	0.348298	0.364596	0.395191	
769.534119	0.349832	0.365009	0.393973	
772.677734	0.350905	0.364911	0.394639	
775.820984	0.352051	0.365701	0.394331	
778.963989	0.353380	0.367848	0.395094	
782.106628	0.354861	0.369108	0.395711	
785.248901	0.355823	0.368705	0.394348	
788.390930	0.356766	0.369117	0.396383	
791.532593	0.357798	0.368662	0.395104	
794.673950	0.358980	0.369729	0.396483	
797.814941	0.359299	0.369505	0.396599	
800.955688	0.360689	0.370721	0.395208	
804.096069	0.361701	0.370496	0.395533	
807.236145	0.362228	0.370845	0.394865	
810.375854	0.362722	0.371991	0.395891	
813.515259	0.363787	0.374498	0.398899	
816.654419	0.364595	0.373939	0.397972	
819.793152	0.365074	0.375020	0.398204	
822.931519	0.365767	0.374986	0.397436	
826.069702	0.366620	0.373689	0.395186	
829.207520	0.367351	0.375047	0.396750	
832.344910	0.368055	0.374583	0.396682	
835.482239	0.368387	0.373778	0.395769	
838.619019	0.368942	0.375221	0.395259	
841.755554	0.369443	0.374041	0.393475	
844.891785	0.369692	0.373573	0.393890	
848.027527	0.370198	0.375307	0.395021	
851.163086	0.370364	0.375345	0.394946	
854.298462	0.370853	0.374542	0.394735	
857.433289	0.371416	0.377079	0.396451	
860.567871	0.372025	0.379126	0.396086	
863.702148	0.372631	0.378637	0.396577	
866.836121	0.372884	0.377264	0.396895	
869.969727	0.372719	0.376980	0.394679	
873.103027	0.373167	0.377845	0.394640	
876.236023	0.373228	0.377168	0.396952	
879.368652	0.373846	0.377846	0.397060	
882.500977	0.373635	0.379595	0.396076	
885.632996	0.373820	0.378213	0.396129	
888.764771	0.374578	0.378031	0.395745	
891.896118	0.374757	0.377943	0.395343	
895.027161	0.374866	0.377689	0.395390	
898.157837	0.374943	0.378343	0.396698	
901.288269	0.375210	0.378760	0.396684	
904.418335	0.375054	0.379501	0.395582	
907.548157	0.375523	0.377594	0.394119	
910.677551	0.375496	0.378867	0.394452	
913.806641	0.375350	0.378088	0.394708	
916.935547	0.375225	0.377638	0.395185	
920.063843	0.375624	0.380341	0.396908	
923.192200	0.375925	0.380303	0.397744	
926.319946	0.376068	0.379722	0.395664	
929.447449	0.375967	0.377720	0.394522	
932.574585	0.376088	0.377193	0.395185	
935.701538	0.376092	0.380307	0.396730	
938.828125	0.376094	0.379604	0.398207	
941.954285	0.375661	0.377354	0.395748	
945.080200	0.375579	0.378429	0.395034	
948.205750	0.376012	0.379312	0.396037	
951.331055	0.375976	0.379149	0.394166	
954.455872	0.376285	0.378809	0.393669	
957.580444	0.375650	0.379793	0.395587	
960.704895	0.375911	0.378956	0.394376	
963.828796	0.376450	0.378008	0.391672	
966.952454	0.375811	0.377023	0.390908	
970.075806	0.375470	0.377769	0.392801	
973.198853	0.375799	0.378154	0.392735	
976.321472	0.375910	0.377446	0.394422	
979.443848	0.376023	0.378601	0.392388	
982.565918	0.375985	0.378115	0.394481	
985.687622	0.375676	0.376897	0.394953	
988.808960	0.375412	0.380851	0.394871	
991.930054	0.375381	0.380107	0.394272	
995.050781	0.375586	0.379441	0.394084	
998.171265	0.375718	0.379439	0.396264	
