wavelength,angle,psi,delta
380.416931,65.02,15.207945,134.417389
380.416931,70.02,11.630391,101.811211
380.416931,75.02,13.609976,56.522247
383.600128,65.02,15.164901,135.098694
383.600128,70.02,11.513136,102.522331
383.600128,75.02,13.357311,56.392845
386.78299,65.02,15.039279,135.586975
386.78299,70.02,11.347013,103.307037
386.78299,75.02,13.114861,56.558517
389.965515,65.02,15.01665,136.373016
389.965515,70.02,11.226667,103.695068
389.965515,75.02,12.904972,56.336948
393.147766,65.02,14.948274,137.06662
393.147766,70.02,11.045287,104.435974
393.147766,75.02,12.707554,56.064384
396.329651,65.02,14.805991,137.597809
396.329651,70.02,10.868531,104.975105
396.329651,75.02,12.526257,55.922375
399.51123,65.02,14.72224,138.311371
399.51123,70.02,10.669183,105.590164
399.51123,75.02,12.334611,55.681778
402.692474,65.02,14.626482,139.141602
402.692474,70.02,10.501447,106.111115
402.692474,75.02,12.135907,55.314789
405.873413,65.02,14.516659,139.885681
405.873413,70.02,10.318794,106.703384
405.873413,75.02,11.937903,55.043781
409.054016,65.02,14.43582,140.50029
409.054016,70.02,10.149495,107.225952
409.054016,75.02,11.76209,54.696941
412.234283,65.02,14.351912,141.253891
412.234283,70.02,9.951984,107.92382
412.234283,75.02,11.55482,54.361347
415.414246,65.02,14.253497,141.9785
415.414246,70.02,9.775316,108.50415
415.414246,75.02,11.363512,53.886662
418.593933,65.02,14.139977,142.599533
418.593933,70.02,9.575698,109.104622
418.593933,75.02,11.165623,53.44035
421.773254,65.02,14.040657,143.470261
421.773254,70.02,9.37637,109.728806
421.773254,75.02,10.981716,52.863674
424.95224,65.02,13.919704,144.212051
424.95224,70.02,9.188622,110.331131
424.95224,75.02,10.794178,52.331921
428.130951,65.02,13.818817,144.987793
428.130951,70.02,8.998306,110.899467
428.130951,75.02,10.608808,51.655067
431.309265,65.02,13.714541,145.72319
431.309265,70.02,8.776866,111.50885
431.309265,75.02,10.41989,51.101543
434.487305,65.02,13.596771,146.50943
434.487305,70.02,8.579717,112.141556
434.487305,75.02,10.252911,50.219246
437.665039,65.02,13.478304,147.267639
437.665039,70.02,8.367761,112.69828
437.665039,75.02,10.079676,49.487652
440.842468,65.02,13.347932,147.964111
440.842468,70.02,8.148961,113.251518
440.842468,75.02,9.894651,48.622955
444.019531,65.02,13.213219,148.729324
444.019531,70.02,7.923839,113.864273
444.019531,75.02,9.72408,47.646179
447.196228,65.02,13.092278,149.475006
447.196228,70.02,7.705768,114.33683
447.196228,75.02,9.586366,46.663651
450.37265,65.02,12.94719,150.217361
450.37265,70.02,7.485951,114.884476
450.37265,75.02,9.443336,45.596123
453.548767,65.02,12.788442,151.00769
453.548767,70.02,7.255372,115.305733
453.548767,75.02,9.296965,44.439217
456.724548,65.02,12.655603,151.807266
456.724548,70.02,7.017372,115.772827
456.724548,75.02,9.169296,43.258194
459.899994,65.02,12.520273,152.576752
459.899994,70.02,6.786582,116.222404
459.899994,75.02,9.052416,41.962601
463.075195,65.02,12.357979,153.354294
463.075195,70.02,6.558635,116.606842
463.075195,75.02,8.948329,40.621616
466.25,65.02,12.190844,154.093384
466.25,70.02,6.312937,116.806015
466.25,75.02,8.855336,39.16407
469.4245,65.02,12.023664,154.838715
469.4245,70.02,6.081561,117.088806
469.4245,75.02,8.788152,37.629749
472.598694,65.02,11.857408,155.615158
472.598694,70.02,5.845163,117.405441
472.598694,75.02,8.715096,36.176949
475.772552,65.02,11.681921,156.35321
475.772552,70.02,5.581518,117.52224
475.772552,75.02,8.656795,34.562756
478.946045,65.02,11.522062,157.185028
478.946045,70.02,5.336136,117.599602
478.946045,75.02,8.620171,32.982754
482.119232,65.02,11.326964,157.975327
482.119232,70.02,5.094125,117.681252
482.119232,75.02,8.596949,31.358292
485.292175,65.02,11.130177,158.766556
485.292175,70.02,4.83172,117.537292
485.292175,75.02,8.582026,29.597553
488.464752,65.02,10.927607,159.565002
488.464752,70.02,4.558486,117.344971
488.464752,75.02,8.604857,27.884108
491.636963,65.02,10.734464,160.267105
491.636963,70.02,4.308406,116.847511
491.636963,75.02,8.621779,26.157938
494.808899,65.02,10.523801,161.048691
494.808899,70.02,4.041007,116.171028
494.808899,75.02,8.678623,24.434349
497.980469,65.02,10.310822,161.908295
497.980469,70.02,3.765559,115.39476
497.980469,75.02,8.733814,22.755127
501.151764,65.02,10.090934,162.710815
501.151764,70.02,3.485038,114.233109
501.151764,75.02,8.831356,21.049486
504.322754,65.02,9.868258,163.593826
504.322754,70.02,3.227127,112.623146
504.322754,75.02,8.926442,19.34461
507.493347,65.02,9.611459,164.328857
507.493347,70.02,2.948548,110.517799
507.493347,75.02,9.052795,17.670517
510.663666,65.02,9.369779,165.209656
510.663666,70.02,2.680666,107.352028
510.663666,75.02,9.21032,16.107517
513.833679,65.02,9.080844,166.108337
513.833679,70.02,2.421042,103.346458
513.833679,75.02,9.388336,14.530429
517.003296,65.02,8.798185,166.866257
517.003296,70.02,2.175283,97.925163
517.003296,75.02,9.56936,13.055403
520.172668,65.02,8.497763,167.793427
520.172668,70.02,1.959876,90.641106
520.172668,75.02,9.790293,11.621607
523.341675,65.02,8.184237,168.580078
523.341675,70.02,1.791324,81.262299
523.341675,75.02,10.051888,10.310024
526.510376,65.02,7.863375,169.445663
526.510376,70.02,1.720179,69.557938
526.510376,75.02,10.320078,9.074079
529.678833,65.02,7.490942,170.142395
529.678833,70.02,1.72357,56.865917
529.678833,75.02,10.612377,7.996752
532.846863,65.02,7.116341,170.851624
532.846863,70.02,1.850789,44.413704
532.846863,75.02,10.93082,6.963509
536.014587,65.02,6.71763,171.459427
536.014587,70.02,2.064381,33.99931
536.014587,75.02,11.298481,6.11265
539.182007,65.02,6.299862,172.06546
539.182007,70.02,2.390083,25.780207
539.182007,75.02,11.694282,5.393486
542.349121,65.02,5.844213,172.4048
542.349121,70.02,2.779987,19.957264
542.349121,75.02,12.10052,4.827297
545.515869,65.02,5.367329,172.368622
545.515869,70.02,3.208541,16.151848
545.515869,75.02,12.535586,4.436043
548.682312,65.02,4.881858,172.032349
548.682312,70.02,3.699623,13.504005
548.682312,75.02,13.007369,4.221799
551.84845,65.02,4.364538,170.879517
551.84845,70.02,4.21003,12.15022
551.84845,75.02,13.496675,4.137002
555.014282,65.02,3.822104,168.823532
555.014282,70.02,4.778878,11.554012
555.014282,75.02,13.990623,4.273547
558.179749,65.02,3.276603,165.107407
558.179749,70.02,5.355742,11.449025
558.179749,75.02,14.521514,4.57336
561.34491,65.02,2.771645,158.793121
561.34491,70.02,5.975703,12.002791
561.34491,75.02,15.066691,5.079773
564.509766,65.02,2.329525,147.852661
564.509766,70.02,6.620061,13.004858
564.509766,75.02,15.611079,5.7818
567.674194,65.02,2.052378,130.927658
567.674194,70.02,7.281951,14.403754
567.674194,75.02,16.17787,6.620657
570.838501,65.02,2.070442,110.790329
570.838501,70.02,7.964463,16.066397
570.838501,75.02,16.72979,7.687057
574.002319,65.02,2.424322,93.098129
574.002319,70.02,8.645191,18.104448
574.002319,75.02,17.27949,8.936745
577.165894,65.02,3.009759,81.745705
577.165894,70.02,9.331586,20.42979
577.165894,75.02,17.820787,10.349743
580.329102,65.02,3.756832,75.311729
580.329102,70.02,10.03361,22.931097
580.329102,75.02,18.341291,11.928815
583.492065,65.02,4.609635,72.122192
583.492065,70.02,10.695369,25.68416
583.492065,75.02,18.82646,13.677122
586.654602,65.02,5.502822,71.374313
586.654602,70.02,11.369415,28.657389
586.654602,75.02,19.291632,15.559301
589.816895,65.02,6.430822,71.786179
589.816895,70.02,12.00022,31.693604
589.816895,75.02,19.68618,17.563055
592.978821,65.02,7.354144,73.019814
592.978821,70.02,12.576648,34.926476
592.978821,75.02,20.038738,19.703264
596.140442,65.02,8.260039,74.913239
596.140442,70.02,13.126397,38.215714
596.140442,75.02,20.335524,21.868238
599.301758,65.02,9.134912,77.266716
599.301758,70.02,13.618018,41.496639
599.301758,75.02,20.556755,24.079208
602.462769,65.02,9.956454,79.734138
602.462769,70.02,14.01998,44.791119
602.462769,75.02,20.724709,26.260464
605.623413,65.02,10.7254,82.335342
605.623413,70.02,14.392186,48.049343
605.623413,75.02,20.825211,28.442112
608.783752,65.02,11.405407,84.974365
608.783752,70.02,14.670839,51.040726
608.783752,75.02,20.86705,30.495558
611.943726,65.02,11.909793,87.596985
611.943726,70.02,14.830804,53.832401
611.943726,75.02,20.810812,32.306953
615.103394,65.02,12.708035,90.765121
615.103394,70.02,15.130977,57.686455
615.103394,75.02,20.782684,34.942547
618.262817,65.02,13.104725,92.673729
618.262817,70.02,15.26011,59.813042
618.262817,75.02,20.72508,36.380085
621.421875,65.02,13.578873,95.270424
621.421875,70.02,15.359226,62.591454
621.421875,75.02,20.586254,38.306782
624.580566,65.02,13.981899,97.617584
624.580566,70.02,15.439565,65.170372
624.580566,75.02,20.425297,40.010143
627.738953,65.02,14.344903,99.94854
627.738953,70.02,15.488436,67.686821
627.738953,75.02,20.255894,41.72414
630.897095,65.02,14.66284,102.072609
630.897095,70.02,15.518448,70.077316
630.897095,75.02,20.068497,43.324863
634.05481,65.02,14.967752,104.131607
634.05481,70.02,15.526022,72.394989
634.05481,75.02,19.870501,44.881119
637.21228,65.02,15.246096,106.170692
637.21228,70.02,15.510668,74.636162
637.21228,75.02,19.641615,46.37804
640.369446,65.02,15.476295,108.023232
640.369446,70.02,15.484634,76.800652
640.369446,75.02,19.410179,47.798565
643.526184,65.02,15.70298,109.890251
643.526184,70.02,15.468951,78.865128
643.526184,75.02,19.165266,49.215424
646.682678,65.02,15.903147,111.696342
646.682678,70.02,15.424137,80.836967
646.682678,75.02,18.934557,50.547764
649.838806,65.02,16.093504,113.37236
649.838806,70.02,15.383247,82.804047
649.838806,75.02,18.690989,51.838303
652.994629,65.02,16.246635,114.947502
652.994629,70.02,15.315262,84.641647
652.994629,75.02,18.434076,53.059742
656.150208,65.02,16.396969,116.414406
656.150208,70.02,15.26403,86.371445
656.150208,75.02,18.187344,54.211517
659.305359,65.02,16.549442,117.942474
659.305359,70.02,15.215239,88.12915
659.305359,75.02,17.948706,55.385239
662.460205,65.02,16.680729,119.335114
662.460205,70.02,15.147508,89.852402
662.460205,75.02,17.688148,56.529434
665.614746,65.02,16.798729,120.653847
665.614746,70.02,15.083019,91.432388
665.614746,75.02,17.439182,57.577393
668.768921,65.02,16.904058,122.009773
668.768921,70.02,15.013106,93.024139
668.768921,75.02,17.19063,58.623798
