Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.02, 70.02, 75.02°)	Delta (65.02, 70.02, 75.02°)				
380.416931	15.207945	134.417389	11.630391	101.811211	13.609976	56.522247	
383.600128	15.164901	135.098694	11.513136	102.522331	13.357311	56.392845	
386.782990	15.039279	135.586975	11.347013	103.307037	13.114861	56.558517	
389.965515	15.016650	136.373016	11.226667	103.695068	12.904972	56.336948	
393.147766	14.948274	137.066620	11.045287	104.435974	12.707554	56.064384	
396.329651	14.805991	137.597809	10.868531	104.975105	12.526257	55.922375	
399.511230	14.722240	138.311371	10.669183	105.590164	12.334611	55.681778	
402.692474	14.626482	139.141602	10.501447	106.111115	12.135907	55.314789	
405.873413	14.516659	139.885681	10.318794	106.703384	11.937903	55.043781	
409.054016	14.435820	140.500290	10.149495	107.225952	11.762090	54.696941	
412.234283	14.351912	141.253891	9.951984	107.923820	11.554820	54.361347	
415.414246	14.253497	141.978500	9.775316	108.504150	11.363512	53.886662	
418.593933	14.139977	142.599533	9.575698	109.104622	11.165623	53.440350	
421.773254	14.040657	143.470261	9.376370	109.728806	10.981716	52.863674	
424.952240	13.919704	144.212051	9.188622	110.331131	10.794178	52.331921	
428.130951	13.818817	144.987793	8.998306	110.899467	10.608808	51.655067	
431.309265	13.714541	145.723190	8.776866	111.508850	10.419890	51.101543	
434.487305	13.596771	146.509430	8.579717	112.141556	10.252911	50.219246	
437.665039	13.478304	147.267639	8.367761	112.698280	10.079676	49.487652	
440.842468	13.347932	147.964111	8.148961	113.251518	9.894651	48.622955	
444.019531	13.213219	148.729324	7.923839	113.864273	9.724080	47.646179	
447.196228	13.092278	149.475006	7.705768	114.336830	9.586366	46.663651	
450.372650	12.947190	150.217361	7.485951	114.884476	9.443336	45.596123	
453.548767	12.788442	151.007690	7.255372	115.305733	9.296965	44.439217	
456.724548	12.655603	151.807266	7.017372	115.772827	9.169296	43.258194	
459.899994	12.520273	152.576752	6.786582	116.222404	9.052416	41.962601	
463.075195	12.357979	153.354294	6.558635	116.606842	8.948329	40.621616	
466.250000	12.190844	154.093384	6.312937	116.806015	8.855336	39.164070	
469.424500	12.023664	154.838715	6.081561	117.088806	8.788152	37.629749	
472.598694	11.857408	155.615158	5.845163	117.405441	8.715096	36.176949	
475.772552	11.681921	156.353210	5.581518	117.522240	8.656795	34.562756	
478.946045	11.522062	157.185028	5.336136	117.599602	8.620171	32.982754	
482.119232	11.326964	157.975327	5.094125	117.681252	8.596949	31.358292	
485.292175	11.130177	158.766556	4.831720	117.537292	8.582026	29.597553	
488.464752	10.927607	159.565002	4.558486	117.344971	8.604857	27.884108	
491.636963	10.734464	160.267105	4.308406	116.847511	8.621779	26.157938	
494.808899	10.523801	161.048691	4.041007	116.171028	8.678623	24.434349	
497.980469	10.310822	161.908295	3.765559	115.394760	8.733814	22.755127	
501.151764	10.090934	162.710815	3.485038	114.233109	8.831356	21.049486	
504.322754	9.868258	163.593826	3.227127	112.623146	8.926442	19.344610	
507.493347	9.611459	164.328857	2.948548	110.517799	9.052795	17.670517	
510.663666	9.369779	165.209656	2.680666	107.352028	9.210320	16.107517	
513.833679	9.080844	166.108337	2.421042	103.346458	9.388336	14.530429	
517.003296	8.798185	166.866257	2.175283	97.925163	9.569360	13.055403	
520.172668	8.497763	167.793427	1.959876	90.641106	9.790293	11.621607	
523.341675	8.184237	168.580078	1.791324	81.262299	10.051888	10.310024	
526.510376	7.863375	169.445663	1.720179	69.557938	10.320078	9.074079	
529.678833	7.490942	170.142395	1.723570	56.865917	10.612377	7.996752	
532.846863	7.116341	170.851624	1.850789	44.413704	10.930820	6.963509	
536.014587	6.717630	171.459427	2.064381	33.999310	11.298481	6.112650	
539.182007	6.299862	172.065460	2.390083	25.780207	11.694282	5.393486	
542.349121	5.844213	172.404800	2.779987	19.957264	12.100520	4.827297	
545.515869	5.367329	172.368622	3.208541	16.151848	12.535586	4.436043	
548.682312	4.881858	172.032349	3.699623	13.504005	13.007369	4.221799	
551.848450	4.364538	170.879517	4.210030	12.150220	13.496675	4.137002	
555.014282	3.822104	168.823532	4.778878	11.554012	13.990623	4.273547	
