Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Intensity (65.02°)	Intensity (70.02°)	Intensity (75.02°)
380.416931	0.358702	0.386675	0.435387	
383.600128	0.359952	0.388857	0.436932	
386.782990	0.360034	0.388113	0.435969	
389.965515	0.360650	0.388498	0.435935	
393.147766	0.361697	0.388449	0.435164	
396.329651	0.361786	0.389089	0.435085	
399.511230	0.362515	0.388801	0.433991	
402.692474	0.363149	0.388822	0.433234	
405.873413	0.364160	0.389153	0.433902	
409.054016	0.364944	0.389166	0.433500	
412.234283	0.365725	0.390152	0.433116	
415.414246	0.366171	0.389770	0.432824	
418.593933	0.367311	0.390340	0.432307	
421.773254	0.367604	0.390899	0.432639	
424.952240	0.368194	0.390571	0.431294	
428.130951	0.368745	0.390996	0.431230	
431.309265	0.368918	0.390447	0.430465	
434.487305	0.369072	0.390600	0.430261	
437.665039	0.369590	0.390261	0.428664	
440.842468	0.369631	0.390034	0.428551	
444.019531	0.370083	0.390391	0.428138	
447.196228	0.369860	0.389231	0.425785	
450.372650	0.369890	0.389514	0.425570	
453.548767	0.369889	0.389364	0.424887	
456.724548	0.369691	0.388157	0.423810	
459.899994	0.369637	0.387244	0.422879	
463.075195	0.369620	0.387436	0.422241	
466.250000	0.369333	0.386768	0.420450	
469.424500	0.368897	0.385432	0.419656	
472.598694	0.369018	0.385499	0.419540	
475.772552	0.368527	0.384649	0.417067	
478.946045	0.368171	0.383962	0.416492	
482.119232	0.367579	0.383242	0.415672	
485.292175	0.367109	0.383060	0.415545	
488.464752	0.366894	0.381541	0.414441	
491.636963	0.365948	0.380873	0.412788	
494.808899	0.365542	0.380137	0.411015	
497.980469	0.364861	0.379370	0.409883	
501.151764	0.364220	0.379381	0.409777	
504.322754	0.363725	0.378595	0.408484	
507.493347	0.363077	0.377403	0.406982	
510.663666	0.362334	0.376269	0.406195	
513.833679	0.361016	0.374000	0.403631	
517.003296	0.360277	0.374232	0.402802	
520.172668	0.359414	0.373945	0.402908	
523.341675	0.358261	0.371474	0.400885	
526.510376	0.357018	0.369571	0.399284	
529.678833	0.355763	0.369090	0.398331	
532.846863	0.354621	0.367953	0.397423	
536.014587	0.353207	0.366500	0.396341	
539.182007	0.351658	0.365207	0.395043	
542.349121	0.349912	0.363271	0.392584	
545.515869	0.348102	0.362777	0.391252	
548.682312	0.346155	0.361297	0.390072	
551.848450	0.344296	0.358571	0.388252	
555.014282	0.342445	0.356451	0.386668	
558.179749	0.340307	0.353824	0.384093	
561.344910	0.338281	0.352980	0.383142	
564.509766	0.335953	0.351168	0.381230	
567.674194	0.333778	0.348317	0.379266	
570.838501	0.331558	0.347447	0.378405	
574.002319	0.329105	0.344970	0.377222	
577.165894	0.326922	0.342649	0.375504	
580.329102	0.324700	0.342198	0.374826	
583.492065	0.322628	0.340596	0.373637	
586.654602	0.320372	0.338107	0.372436	
589.816895	0.318593	0.335691	0.370185	
592.978821	0.316808	0.334515	0.369610	
596.140442	0.315245	0.333602	0.368623	
599.301758	0.313855	0.332545	0.368261	
602.462769	0.312561	0.331575	0.366979	
605.623413	0.311679	0.331550	0.366600	
608.783752	0.311046	0.331591	0.367451	
611.943726	0.310587	0.332224	0.369075	
615.103394	0.309536	0.326277	0.361265	
618.262817	0.309336	0.329091	0.365959	
621.421875	0.309442	0.329312	0.365233	
624.580566	0.309563	0.330642	0.366368	
627.738953	0.309707	0.329424	0.366256	
630.897095	0.310060	0.331252	0.367844	
634.054810	0.310455	0.329567	0.365663	
637.212280	0.311284	0.330944	0.365748	
640.369446	0.312087	0.331184	0.367203	
643.526184	0.312691	0.332576	0.368792	
646.682678	0.313984	0.334063	0.368983	
649.838806	0.315012	0.334814	0.369279	
652.994629	0.316068	0.335653	0.369837	
656.150208	0.317368	0.336446	0.369811	
659.305359	0.318726	0.336465	0.369365	
662.460205	0.320236	0.339387	0.373154	
665.614746	0.321639	0.340214	0.373378	
668.768921	0.322897	0.340733	0.373646	
671.922852	0.324652	0.341826	0.373526	
675.076477	0.326281	0.343599	0.375045	
678.229675	0.328135	0.344464	0.376422	
681.382629	0.329385	0.345813	0.376902	
684.535278	0.331165	0.348232	0.378586	
687.687561	0.332695	0.348026	0.377195	
690.839478	0.334523	0.350019	0.378433	
693.991150	0.336257	0.352577	0.381669	
697.142456	0.337897	0.352218	0.381600	
700.293457	0.339630	0.354704	0.383013	
703.444153	0.341427	0.356014	0.385011	
