wavelength,angle,psi,delta
380.416931,65.02,23.161663,109.513702
380.416931,70.02,22.548107,86.981369
380.416931,75.02,24.379166,61.695473
383.600128,65.02,23.195032,110.200912
383.600128,70.02,22.383667,87.824669
383.600128,75.02,24.239531,62.440693
386.78299,65.02,23.161388,110.999687
386.78299,70.02,22.290468,88.64003
386.78299,75.02,24.015429,62.990597
389.965515,65.02,23.112658,111.775772
389.965515,70.02,22.153156,89.376434
389.965515,75.02,23.812422,63.455025
393.147766,65.02,23.034883,112.476173
393.147766,70.02,22.022383,89.960632
393.147766,75.02,23.643314,63.977371
396.329651,65.02,23.011415,112.974823
396.329651,70.02,21.914904,90.541931
396.329651,75.02,23.488665,64.406052
399.51123,65.02,22.983055,113.689545
399.51123,70.02,21.794487,91.174004
399.51123,75.02,23.311865,64.815269
402.692474,65.02,22.926376,114.348244
402.692474,70.02,21.695513,91.828987
402.692474,75.02,23.155045,65.34034
405.873413,65.02,22.898058,114.981705
405.873413,70.02,21.594234,92.505592
405.873413,75.02,22.96756,65.768425
409.054016,65.02,22.866716,115.634209
409.054016,70.02,21.47831,93.132858
409.054016,75.02,22.790787,66.162849
412.234283,65.02,22.825153,116.314484
412.234283,70.02,21.37974,93.770149
412.234283,75.02,22.638721,66.595703
415.414246,65.02,22.796509,117.011353
415.414246,70.02,21.260092,94.38311
415.414246,75.02,22.455582,67.088493
418.593933,65.02,22.734764,117.55806
418.593933,70.02,21.14086,95.064819
418.593933,75.02,22.277367,67.518051
421.773254,65.02,22.721607,118.31311
421.773254,70.02,21.02725,95.72197
421.773254,75.02,22.09432,67.990265
424.95224,65.02,22.681213,118.860352
424.95224,70.02,20.913019,96.38221
424.95224,75.02,21.918821,68.435707
428.130951,65.02,22.629267,119.580215
428.130951,70.02,20.792217,97.118408
428.130951,75.02,21.728754,68.955452
431.309265,65.02,22.568512,120.24987
431.309265,70.02,20.675001,97.741821
431.309265,75.02,21.531084,69.408775
434.487305,65.02,22.53422,120.947075
434.487305,70.02,20.544777,98.434624
434.487305,75.02,21.340214,69.827393
437.665039,65.02,22.482002,121.628525
437.665039,70.02,20.4317,99.136353
437.665039,75.02,21.156998,70.329704
440.842468,65.02,22.436741,122.222
440.842468,70.02,20.309572,99.780449
440.842468,75.02,20.956244,70.709625
444.019531,65.02,22.38064,122.867188
444.019531,70.02,20.173082,100.42897
444.019531,75.02,20.762796,71.15432
447.196228,65.02,22.317417,123.463715
447.196228,70.02,20.045544,101.087479
447.196228,75.02,20.56286,71.624489
450.37265,65.02,22.267097,124.122032
450.37265,70.02,19.910942,101.756767
450.37265,75.02,20.361105,71.999016
453.548767,65.02,22.191175,124.757172
453.548767,70.02,19.779856,102.374458
453.548767,75.02,20.16103,72.429611
456.724548,65.02,22.137606,125.379555
456.724548,70.02,19.642181,103.009163
456.724548,75.02,19.959105,72.803848
459.899994,65.02,22.08028,125.974823
459.899994,70.02,19.494249,103.625999
459.899994,75.02,19.756638,73.216972
463.075195,65.02,22.006506,126.616257
463.075195,70.02,19.367689,104.265434
463.075195,75.02,19.548868,73.567581
466.25,65.02,21.937155,127.258095
466.25,70.02,19.232174,104.946655
466.25,75.02,19.333939,73.999443
469.4245,65.02,21.876303,127.836357
469.4245,70.02,19.085213,105.497787
469.4245,75.02,19.138254,74.308121
472.598694,65.02,21.792332,128.420029
472.598694,70.02,18.941551,106.145325
472.598694,75.02,18.925756,74.721977
475.772552,65.02,21.712831,129.027527
475.772552,70.02,18.805708,106.773689
475.772552,75.02,18.71389,75.041786
478.946045,65.02,21.648197,129.613937
478.946045,70.02,18.663706,107.399834
478.946045,75.02,18.495676,75.398567
482.119232,65.02,21.567654,130.198166
482.119232,70.02,18.514605,108.001869
482.119232,75.02,18.292534,75.739777
485.292175,65.02,21.499392,130.788666
485.292175,70.02,18.365122,108.58683
485.292175,75.02,18.071768,76.060997
488.464752,65.02,21.406637,131.380753
488.464752,70.02,18.219826,109.152969
488.464752,75.02,17.857637,76.3536
491.636963,65.02,21.346155,131.941223
491.636963,70.02,18.076622,109.78994
491.636963,75.02,17.653782,76.652283
494.808899,65.02,21.253788,132.542557
494.808899,70.02,17.906897,110.340912
494.808899,75.02,17.431503,76.929565
497.980469,65.02,21.159668,133.069183
497.980469,70.02,17.765285,110.926476
497.980469,75.02,17.214743,77.22094
501.151764,65.02,21.077751,133.64621
501.151764,70.02,17.607347,111.510582
501.151764,75.02,16.997444,77.473236
504.322754,65.02,20.973473,134.220795
504.322754,70.02,17.449368,112.101662
